Title,Creators,DOI,Publisher,Year Published
Data Study Group Final Report: Global Witness - Identifying Unregulated Mining Sites using Historical Satellite Data,Data Study Group Team,10.5281/zenodo.8366047,Zenodo,2023
Data Study Group Final Report: Global Witness - Identifying Unregulated Mining Sites using Historical Satellite Data,Data Study Group Team,10.5281/zenodo.8366048,Zenodo,2023
"OpenFest 2023 Online Symposium Keynote 2 - Malvika Sharan, Open science for enabling reproducible, ethical and collaborative research: Insights from The Turing Way","Sharan, Malvika",10.15131/shef.data.24162249,The University of Sheffield,2023
"OpenFest 2023 Online Symposium Keynote 2 - Malvika Sharan, Open science for enabling reproducible, ethical and collaborative research: Insights from The Turing Way","Sharan, Malvika",10.15131/shef.data.24162249.v1,The University of Sheffield,2023
Openfest 2023 online symposium session recording: Reshaping Open Research Infrastructures,"Catt, Ben, Smith, Kate, Bennett, Arielle, Hostler, Tom, O'Neill, Kate, Taibi-Voigts, Julia",10.15131/shef.data.24162378,The University of Sheffield,2023
Openfest 2023 online symposium session recording: Reshaping Open Research Infrastructures,"Catt, Ben, Smith, Kate, Bennett, Arielle, Hostler, Tom, O'Neill, Kate, Taibi-Voigts, Julia",10.15131/shef.data.24162378.v1,The University of Sheffield,2023
Environmental Data Science book: A computational notebook community for open environmental data science.,"Community, The Environmental Data Science Book",10.5281/zenodo.8314849,Zenodo,2023
Environmental Data Science book: A computational notebook community for open environmental data science.,"Community, The Environmental Data Science Book",10.5281/zenodo.8359648,Zenodo,2023
Environmental Data Science book: A computational notebook community for open environmental data science.,"Community, The Environmental Data Science Book",10.5281/zenodo.5918931,Zenodo,2023
"Environmental Data Science Book: A living, open and community-driven online resource to showcase and support the publication of data, research and open-source tools for collaborative, reproducible and transparent Environmental Data Science.",Environmental Data Science Community,10.5281/zenodo.6558475,Zenodo,2022
"Environmental Data Science Book: A living, open and community-driven online resource to showcase and support the publication of data, research and open-source tools for collaborative, reproducible and transparent Environmental Data Science.",Environmental Data Science Book Community,10.5281/zenodo.7834343,Zenodo,2023
"Environmental Data Science Book: A living, open and community-driven online resource to showcase and support the publication of data, research and open-source tools for collaborative, reproducible and transparent Environmental Data Science.",Environmental Data Science Book Community,10.5281/zenodo.7951713,Zenodo,2023
Environmental Data Science book: A computational notebook community for open environmental data science.,"The Environmental Data Science book Community, .",10.5281/zenodo.8304890,Zenodo,2023
Environmental Data Science book: A computational notebook community for open environmental data science.,"Community, The Environmental Data Science Book",10.5281/zenodo.8304907,Zenodo,2023
alan-turing-institute/distinctipy: v1.2.2,"Roberts, Jack, Crall, Jon",10.5281/zenodo.6803948,Zenodo,2022
alan-turing-institute/distinctipy: v1.2.3,"Roberts, Jack, Crall, Jon, Kian-Meng Ang, Brandt, Yannick",10.5281/zenodo.3985191,Zenodo,2023
alan-turing-institute/distinctipy: v1.2.1,"Roberts, Jack, Crall, Jon",10.5281/zenodo.5827513,Zenodo,2022
alan-turing-institute/distinctipy: v1.2.3,"Roberts, Jack, Crall, Jon, Kian-Meng Ang, Brandt, Yannick",10.5281/zenodo.8355862,Zenodo,2023
alan-turing-institute/distinctipy: v1.2.0,"Roberts, Jack, Crall, Jon",10.5281/zenodo.5780173,Zenodo,2021
alan-turing-institute/distinctipy: Zenodo Release,"Roberts, Jack",10.5281/zenodo.3985192,Zenodo,2020
alan-turing-institute/distr6: distr6 1.6.15,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Chengyang Gao, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.7784415,Zenodo,2023
alan-turing-institute/distr6: distr6 1.6.14,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, ChyGao, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.7670199,Zenodo,2023
alan-turing-institute/distr6: distr6 1.7.0,"Sonabend, Raphael, Lauer, Michal, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Chengyang Gao, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Zarubin, Ilya, Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.8195367,Zenodo,2023
alan-turing-institute/distr6: distr6 1.6.13,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.7628982,Zenodo,2023
alan-turing-institute/distr6: distr6 1.6.2,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5549711,Zenodo,2021
alan-turing-institute/distr6: distr6 1.6.8,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.6363638,Zenodo,2022
alan-turing-institute/distr6: distr6 1.6.12,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.7447626,Zenodo,2022
alan-turing-institute/distr6: distr6 1.6.10,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.6502506,Zenodo,2022
alan-turing-institute/distr6: distr6 1.6.4,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5886642,Zenodo,2022
alan-turing-institute/distr6: distr6 1.6.7,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.6229431,Zenodo,2022
alan-turing-institute/distr6: distr6 1.6.11,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Chirico, Michael, FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.6659555,Zenodo,2022
alan-turing-institute/distr6: distr6 1.6.1,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5525977,Zenodo,2021
alan-turing-institute/distr6: distr6 1.5.5,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5101902,Zenodo,2021
alan-turing-institute/distr6: distr6 1.6.0,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5150018,Zenodo,2021
alan-turing-institute/distr6: distr6 1.5.6,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5110987,Zenodo,2021
alan-turing-institute/distr6: Release distr6 1.5.1,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4542872,Zenodo,2021
alan-turing-institute/distr6: distr6 1.5.3,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5097932,Zenodo,2021
alan-turing-institute/distr6: distr6 1.5.4,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.5101445,Zenodo,2021
alan-turing-institute/distr6: distr6 1.5.1,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4542846,Zenodo,2021
alan-turing-institute/distr6: distr6 1.5.2,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), FitzJohn, Rich, ShenSeanChen, Yumizhou47",10.5281/zenodo.4697896,Zenodo,2021
alan-turing-institute/distr6: distr6 1.4.6,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4181619,Zenodo,2020
alan-turing-institute/distr6: distr6 1.4.5,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4160239,Zenodo,2020
alan-turing-institute/distr6: distr6 1.4.4,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Toha, Ain, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4055092,Zenodo,2020
alan-turing-institute/distr6: distr6 1.4.7,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4278079,Zenodo,2020
alan-turing-institute/distr6: distr6 1.4.8,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4318997,Zenodo,2020
alan-turing-institute/distr6: distr6 1.5.0,"Sonabend, Raphael, Toha, Ain, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4542821,Zenodo,2021
alan-turing-institute/distr6: distr6 1.3.6,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Yumizhou47, ShenSeanChen",10.5281/zenodo.3753981,Zenodo,2020
alan-turing-institute/distr6: distr6 1.3.5,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), Yumizhou47, ShenSeanChen",10.5281/zenodo.3715467,Zenodo,2020
alan-turing-institute/distr6: distr6 1.4.2,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Toha, Ain, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.3957436,Zenodo,2020
alan-turing-institute/distr6: distr6 1.4.3,"Sonabend, Raphael, Jdeenichin, Shliu99, Chijing Zeng, RoyaHe, Garoc371, Toha, Ain, Xiaowen Huang, Gzy823, Edwinyrl, YUNJIE HE(Roya), ShenSeanChen, Yumizhou47",10.5281/zenodo.4002766,Zenodo,2020
"Wednesday 6 May: Deriving Specific Small-Scale Collections, Federico Nanni, Alan Turing Institute","Brügger, Niels",10.5281/zenodo.8348781,Zenodo,2023
"Wednesday 6 May: Deriving Specific Small-Scale Collections, Federico Nanni, Alan Turing Institute","Brügger, Niels",10.5281/zenodo.8348782,Zenodo,2023
DigiSpec: Scoping Future Born-Digital Data Services for the Arts and Humanities: Case Reports,"De Roure, David, Moore, John, Page, Kevin, Burrows, Toby, Beavan, David, Hobson, Timothy, Bergel, Giles, Dutta, Abhishek, Zisserman, Andrew, Bhaugeerutty, Aruna, Blickhan, Samantha, Chamberlain, Alan, Ciula, Arianna, Cooke, Ian, Wisdom, Stella, Hawley, Graeme, Crawford, Tim, Badkobeh, Golnaz, Lewis, David, Porter, Alistair, Pugin, Laurent, Zitellini, Rodolfo, Cronk, Nicholas, Mikus, Birgit, Jefferies, Neil, Cornwell, Peter, Jones, Huw, Melen, Christopher, Niven, Kieron, Proudfoot, Rachel, Rees, Gethin, Máximo Rocha, Pedro, Sampson, Amy, Wynne, Martin, Barnet, Nicola, Khokar, Masud, Salter, John",10.5281/zenodo.4716147,Zenodo,2022
DigiSpec: Scoping Future Born-Digital Data Services for the Arts and Humanities: Case Reports,"De Roure, David, Moore, John, Page, Kevin, Burrows, Toby, Beavan, David, Hobson, Timothy, Bergel, Giles, Dutta, Abhishek, Zisserman, Andrew, Bhaugeerutty, Aruna, Blickhan, Samantha, Chamberlain, Alan, Ciula, Arianna, Cooke, Ian, Wisdom, Stella, Hawley, Graeme, Crawford, Tim, Badkobeh, Golnaz, Lewis, David, Porter, Alistair, Pugin, Laurent, Zitellini, Rodolfo, Cronk, Nicholas, Mikus, Birgit, Jefferies, Neil, Cornwell, Peter, Jones, Huw, Melen, Christopher, Niven, Kieron, Proudfoot, Rachel, Rees, Gethin, Máximo Rocha, Pedro, Sampson, Amy, Wynne, Martin, Barnet, Nicola, Khokar, Masud, Salter, John",10.5281/zenodo.4716148,Zenodo,2022
Research Community Management - Skills framework,"Sharan, Malvika, Karoune, Emma",10.5281/zenodo.8337626,Zenodo,2023
Research Community Management - Skills framework,"Sharan, Malvika, Karoune, Emma",10.5281/zenodo.8337627,Zenodo,2023
Data Study Group Final Report: Keep Wales Tidy/Keep Scotland Beautiful - Towards Data-Driven Litter-Free Streets,Data Study Group Team,10.5281/zenodo.8334443,Zenodo,2023
Data Study Group Final Report: Keep Wales Tidy/Keep Scotland Beautiful - Towards Data-Driven Litter-Free Streets,Data Study Group Team,10.5281/zenodo.8334444,Zenodo,2023
Data Study Group Final Report: CEFAS - Automated identification of sea pens using OpenCV and machine learning,Data Study Team Group,10.5281/zenodo.8329168,Zenodo,2023
Data Study Group Final Report: CEFAS - Automated identification of sea pens using OpenCV and machine learning,Data Study Team Group,10.5281/zenodo.8329169,Zenodo,2023
Data Study Group Final Report: AMRC - Data augmentation and synthetic data generation for low frequency and sparse data problems,Data Study Group Team,10.5281/zenodo.8328244,Zenodo,2023
Data Study Group Final Report: AMRC - Data augmentation and synthetic data generation for low frequency and sparse data problems,Data Study Group Team,10.5281/zenodo.8328245,Zenodo,2023
The Future of Fundamental Science Led by Generative Closed-Loop Artificial Intelligence,"Zenil, Hector, Tegnér, Jesper, Abrahão, Felipe S., Lavin, Alexander, Kumar, Vipin, Frey, Jeremy G., Weller, Adrian, Soldatova, Larisa, Bundy, Alan R., Jennings, Nicholas R., Takahashi, Koichi, Hunter, Lawrence, Dzeroski, Saso, Briggs, Andrew, Gregory, Frederick D., Gomes, Carla P., Rowe, Jon, Evans, James, Kitano, Hiroaki, King, Ross",10.48550/arxiv.2307.07522,arXiv,2023
